regex_control 0 {'seconds': {'median_paired_ratio': 1.0339968064073064, 'bootstrap_95_interval': [0.9966105073237503, 1.0661800559577281], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9850746268656716, 1.0], 'signal': 'inconclusive'}}
regex_control 1 {'seconds': {'median_paired_ratio': 0.9960154074794287, 'bootstrap_95_interval': [0.8914372631240168, 1.0249848359780542], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
volume_short_128m 0 {'seconds': {'median_paired_ratio': 1.0291280969079974, 'bootstrap_95_interval': [0.9916291759484686, 1.1124559894615798], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.980106100795756, 1.0027063599458728], 'signal': 'inconclusive'}}
volume_short_128m 1 {'seconds': {'median_paired_ratio': 1.0153575847272356, 'bootstrap_95_interval': [0.9536222715494537, 1.0422856985721547], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.993234100135318, 1.0013531799729365], 'signal': 'inconclusive'}}
volume_64k_128m 0 {'seconds': {'median_paired_ratio': 1.0063757903749395, 'bootstrap_95_interval': [0.9323636849201105, 1.0481262911220735], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9915254237288136, 1.0], 'signal': 'inconclusive'}}
volume_64k_128m 1 {'seconds': {'median_paired_ratio': 1.0242433571959622, 'bootstrap_95_interval': [0.9912326067612237, 1.0560773222366737], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0085470085470085], 'signal': 'inconclusive'}}
csv_mixed 0 {'seconds': {'median_paired_ratio': 1.0128457074260158, 'bootstrap_95_interval': [0.9859405296912973, 1.0468908265062387], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.996005326231691, 1.0094850948509486], 'signal': 'inconclusive'}}
csv_mixed 1 {'seconds': {'median_paired_ratio': 0.9950060935355768, 'bootstrap_95_interval': [0.9192419762768484, 1.0364713931505352], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9906040268456375, 1.0108108108108107], 'signal': 'inconclusive'}}
high_cardinality 0 {'seconds': {'median_paired_ratio': 1.0049799653542881, 'bootstrap_95_interval': [0.9902323587357049, 1.0583025191602127], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9989854582346973, 1.001693193362682], 'signal': 'inconclusive'}}
high_cardinality 1 {'seconds': {'median_paired_ratio': 0.984274488190277, 'bootstrap_95_interval': [0.9386919207616008, 1.015263985042194], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0003386386725364, 'bootstrap_95_interval': [0.9996621621621622, 1.0010131712259371], 'signal': 'inconclusive'}}
output_format 0 {'seconds': {'median_paired_ratio': 1.0083637314454634, 'bootstrap_95_interval': [0.9765033322572968, 1.0306965644919028], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0013586956521738], 'signal': 'inconclusive'}}
output_format 1 {'seconds': {'median_paired_ratio': 0.9824028894749249, 'bootstrap_95_interval': [0.9510333191591798, 1.0308972222711934], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9959404600811907, 1.0013550135501355], 'signal': 'inconclusive'}}
