regex_control 0 {'seconds': {'median_paired_ratio': 1.016801904926982, 'bootstrap_95_interval': [0.9682734999373243, 1.0525804868906943], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
regex_control 1 {'seconds': {'median_paired_ratio': 1.0085858189853922, 'bootstrap_95_interval': [0.9522787338843275, 1.0773553555418558], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
volume_short_128m 0 {'seconds': {'median_paired_ratio': 1.0034922736537912, 'bootstrap_95_interval': [0.8983169728294009, 1.1036441504506234], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9809160305343512, 1.0441176470588236], 'signal': 'inconclusive'}}
volume_short_128m 1 {'seconds': {'median_paired_ratio': 1.0208099937383521, 'bootstrap_95_interval': [0.9167885682448645, 1.1132634886639932], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9562043795620438, 1.0381679389312977], 'signal': 'inconclusive'}}
volume_64k_128m 0 {'seconds': {'median_paired_ratio': 1.0375526203435064, 'bootstrap_95_interval': [0.865112367316913, 1.0598872994360946], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9842271293375394, 1.0315457413249212], 'signal': 'inconclusive'}}
volume_64k_128m 1 {'seconds': {'median_paired_ratio': 0.8163566541160977, 'bootstrap_95_interval': [0.7541025709161046, 1.104267899367169], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9842271293375394, 1.003003003003003], 'signal': 'inconclusive'}}
csv_mixed 0 {'seconds': {'median_paired_ratio': 1.0149630788976758, 'bootstrap_95_interval': [0.9862763437725601, 1.0650797862544885], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.027027027027027, 'bootstrap_95_interval': [0.973384030418251, 1.02734375], 'signal': 'inconclusive'}}
csv_mixed 1 {'seconds': {'median_paired_ratio': 0.9982639673499284, 'bootstrap_95_interval': [0.990628311580001, 1.040491723176526], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9961977186311787, 'bootstrap_95_interval': [0.973384030418251, 1.01171875], 'signal': 'inconclusive'}}
high_cardinality 0 {'seconds': {'median_paired_ratio': 0.964836287731419, 'bootstrap_95_interval': [0.8629762335065894, 1.0899676561003833], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9796893667861409, 1.086269744835966], 'signal': 'inconclusive'}}
high_cardinality 1 {'seconds': {'median_paired_ratio': 0.963025410376102, 'bootstrap_95_interval': [0.9425116576431966, 1.0958964918714498], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9988974641675854, 'bootstrap_95_interval': [0.9318435754189944, 1.0133928571428572], 'signal': 'inconclusive'}}
output_format 0 {'seconds': {'median_paired_ratio': 0.9240944756422456, 'bootstrap_95_interval': [0.8988786232978324, 0.9575109083488457], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9961832061068703, 1.0], 'signal': 'inconclusive'}}
output_format 1 {'seconds': {'median_paired_ratio': 0.9688538240145214, 'bootstrap_95_interval': [0.8994158387490527, 1.0930706711400988], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.003831417624521], 'signal': 'inconclusive'}}
